Year;General index;Housing;Hotels, cafés and restaurants
2024;114.8;107.3;117.3
2023;111.7;103.9;112.2
2022;108.0;114.6;105.6
2021;100.0;100.0;100.0
2020;97.2;91.3;99.6
2019;97.6;94.5;98.7
2018;96.7;95.4;96.6
2017;95.0;93.2;94.8
2016;93.0;90.3;92.8
2015;92.9;93.7;91.6
2014;93.1;95.1;90.7
2013;92.9;93.6;90.3
2012;91.4;92.0;89.5
2011;88.8;87.7;88.1
2010;86.0;82.3;86.6
2009;84.3;79.6;85.2
2008;84.1;78.5;83.4
2007;80.8;73.5;79.6
2006;78.5;70.7;75.5
2005;75.7;66.5;72.2
2004;72.9;62.8;68.9
2003;70.4;60.8;65.8
2002;68.0;58.9;62.7
