Year;Legal interest;On arrears;EURIBOR;Banks;Savings banks;Both;Public debt
2023;3.25;4.06;3.865;..;..;3.987;2.998
2022;3.00;3.75;1.088;..;..;2.058;0.833
2021;3.00;3.75;-0.491;..;..;1.503;-0.357
2020;3.00;3.75;-0.303;..;..;1.727;-0.164
2019;3.00;3.75;-0.215;..;..;1.935;-0.029
2018;3.00;3.75;-0.173;..;..;1.921;0.137
2017;3.00;3.75;-0.145;..;..;1.910;0.138
2016;3.00;3.75;-0.034;..;..;1.952;0.307
2015;3.50;4.38;0.169;..;..;2.212;0.626
2014;4.00;5.00;0.476;..;..;3.004;1.510
2013;4.00;5.00;0.536;..;..;3.353;3.108
2012;4.00;5.00;1.111;3.282;3.613;3.416;4.338
2011;4.00;5.00;2.006;3.259;3.498;3.383;4.025
2010;4.00;5.00;1.350;2.508;2.972;2.770;2.660
2009;4.38;5.50;1.618;3.151;3.653;3.439;2.827
2008;5.50;7.00;4.813;5.780;5.921;5.857;4.059
2007;5.00;6.25;4.450;5.203;5.276;5.242;4.081
2006;4.00;5.00;3.436;4.117;4.222;4.173;3.349
2005;4.00;5.00;2.334;3.181;3.373;3.283;2.681
2004;3.75;4.75;2.270;3.270;3.440;3.360;3.100
2003;4.25;5.50;2.340;3.630;3.790;3.710;3.010
2002;4.25;5.50;3.490;4.690;4.900;4.800;4.170
2001;5.50;6.50;4.080;5.600;5.930;5.760;4.630
2000;4.25;5.50;4.780;5.710;5.820;5.760;5.020
