"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Seccio_censal","Sup_mitjana_m2"
2024,1,"Ciutat Vella",1,"el Raval",1,76.7
2024,1,"Ciutat Vella",1,"el Raval",2,67.9
2024,1,"Ciutat Vella",1,"el Raval",3,59.1
2024,1,"Ciutat Vella",1,"el Raval",4,65
2024,1,"Ciutat Vella",1,"el Raval",5,77.8
2024,1,"Ciutat Vella",1,"el Raval",6,77.7
2024,1,"Ciutat Vella",1,"el Raval",7,69.4
2024,1,"Ciutat Vella",1,"el Raval",8,54.1
2024,1,"Ciutat Vella",1,"el Raval",9,58.1
2024,1,"Ciutat Vella",1,"el Raval",10,55.2
2024,1,"Ciutat Vella",1,"el Raval",11,52.9
2024,1,"Ciutat Vella",1,"el Raval",12,56.4
2024,1,"Ciutat Vella",1,"el Raval",13,68.4
2024,1,"Ciutat Vella",1,"el Raval",14,61.9
2024,1,"Ciutat Vella",1,"el Raval",15,60.6
2024,1,"Ciutat Vella",1,"el Raval",16,59.9
2024,1,"Ciutat Vella",1,"el Raval",17,55.1
2024,1,"Ciutat Vella",1,"el Raval",18,70.2
2024,1,"Ciutat Vella",1,"el Raval",19,64.5
2024,1,"Ciutat Vella",1,"el Raval",20,89.7
2024,1,"Ciutat Vella",1,"el Raval",21,78
2024,1,"Ciutat Vella",2,"el Barri Gòtic",22,104.1
2024,1,"Ciutat Vella",2,"el Barri Gòtic",23,83
2024,1,"Ciutat Vella",2,"el Barri Gòtic",25,84.3
2024,1,"Ciutat Vella",2,"el Barri Gòtic",26,79.5
2024,1,"Ciutat Vella",2,"el Barri Gòtic",27,95.7
2024,1,"Ciutat Vella",2,"el Barri Gòtic",28,85.1
2024,1,"Ciutat Vella",2,"el Barri Gòtic",29,90.3
2024,1,"Ciutat Vella",2,"el Barri Gòtic",30,93.6
2024,1,"Ciutat Vella",2,"el Barri Gòtic",31,81.8
2024,1,"Ciutat Vella",3,"la Barceloneta",32,46.4
2024,1,"Ciutat Vella",3,"la Barceloneta",33,42
2024,1,"Ciutat Vella",3,"la Barceloneta",34,37.2
2024,1,"Ciutat Vella",3,"la Barceloneta",35,38.1
